eNBId,bts_name,Cell,NodeId,EUtranCellFDDId,earfcndl,administrativeState,operationalState,userLabel,tac,physicalLayerCellId,physicalLayerCellIdGroup,physicalLayerSubCellId,latitude,longitude,ems,catm1SupportEnabled,cellRange,crsGain,dlChannelBandwidth,freqBand,noOfPucchCqiUsers,noOfPucchSrUsers,primaryPlmnReserved,rachRootSequence,highSpeedUEActive,commonSrPeriodicity,address,RF_port,productName,serialNumber,Cascade,sleepMode,sleepState,RATFreqPrioId,spidList,EutranFreqRelationId,cellReselectionPriority,featureState_LoadBasedDistributionAtRelease_CXC4011944,featureState_SpidRatFreqPrio_CXC4011063,IdleModePrioAtRelease,a1a2SearchThresholdRsrp,hysteresisA1A2SearchRsrp,a5Threshold1Rsrp,a5Threshold2Rsrp,hysteresisA5,a3offset,hysteresisA3,part_name,city,gu,dong,bungi,sisul_code,ru_name,new_sisul,latitude_norm_2,longitude_norm_2,eqp_id,mibos_eqp_nm,du_eqp_id
69432,DummyBTS_7,8,dummy-node-896,dummy-eutran-662,2850,UNLOCKED,DISABLED,Blank,1592,0,1,8,35.05711129,127.7478079,0,FALSE,20,440,12218,9,292,79,FALSE,88,FALSE,34,78.dummy.address,21-B15-RRUS8-0,RRUS6,CB4L360386,1,DEACTIVATED,DEACTIVATED,3,"[66, 194, 156, 149]",6,4,ACTIVATED,DEACTIVATED,4,-109,6,-114,-106,4,23,6,nan,nan,nan,nan,nan,nan,nan,nan,39.89482866,128.6121861,8608453129,nan,7776447114
61496,DummyBTS_635,9,dummy-node-131,dummy-eutran-907,2850,UNLOCKED,ENABLED,Blank,1585,8,1,0,36.99161066,127.8956449,1,FALSE,6,143,14372,5,260,412,TRUE,36,TRUE,42,78.dummy.address,95-B5-RRUS17-0,RRUS19,CB4L950607,2,ACTIVATED,ACTIVATED,1,"[63, 50, 96, 98]",5,8,ACTIVATED,ACTIVATED,4,-117,8,-124,-104,0,5,4,nan,nan,nan,nan,nan,nan,nan,nan,37.90333676,129.8795782,4853163443,nan,7913217527
60639,DummyBTS_81,6,dummy-node-269,dummy-eutran-854,2850,UNLOCKED,ENABLED,Blank,1537,8,4,3,38.65494482,127.3832144,2,TRUE,18,241,11543,3,29,377,FALSE,37,TRUE,17,89.dummy.address,28-B16-RRUS14-0,RRUS18,CB4L360904,0,ACTIVATED,DEACTIVATED,5,"[132, 113, 114, 58]",4,9,ACTIVATED,DEACTIVATED,4,-113,7,-118,-93,1,45,1,nan,nan,nan,nan,nan,nan,nan,nan,37.90926268,127.951816,2481047088,nan,7778454284
74882,DummyBTS_827,7,dummy-node-207,dummy-eutran-468,2500,LOCKED,DISABLED,Blank,1199,2,7,5,37.6809901,128.2607046,0,FALSE,9,311,16877,1,434,99,FALSE,72,FALSE,39,61.dummy.address,1-B19-RRUS17-0,RRUS7,CB4L191801,1,ACTIVATED,ACTIVATED,6,"[88, 192, 161, 118]",8,9,ACTIVATED,DEACTIVATED,8,-108,0,-97,-116,8,32,2,nan,nan,nan,nan,nan,nan,nan,nan,35.62558477,129.3574658,2327281372,nan,5657464166
68239,DummyBTS_584,1,dummy-node-443,dummy-eutran-647,3200,UNLOCKED,ENABLED,Blank,1987,9,1,8,35.02674807,128.3018326,1,TRUE,21,175,17732,8,412,193,FALSE,78,TRUE,11,7.dummy.address,71-B17-RRUS12-0,RRUS10,CB4L290381,2,DEACTIVATED,ACTIVATED,2,"[120, 120, 72, 108]",9,8,DEACTIVATED,ACTIVATED,0,-119,6,-99,-103,5,1,0,nan,nan,nan,nan,nan,nan,nan,nan,36.38568539,128.605235,3138359681,nan,6902412731
62069,DummyBTS_46,9,dummy-node-162,dummy-eutran-583,2850,UNLOCKED,ENABLED,Blank,1868,6,9,2,38.57952319,127.9763767,0,TRUE,22,61,11196,2,276,423,TRUE,80,TRUE,49,16.dummy.address,6-B19-RRUS9-0,RRUS7,CB4L108062,1,ACTIVATED,ACTIVATED,6,"[133, 76, 80, 29]",6,1,ACTIVATED,ACTIVATED,7,-111,1,-123,-115,2,31,8,nan,nan,nan,nan,nan,nan,nan,nan,37.7887269,127.6200121,6728084098,nan,1900057667
63408,DummyBTS_450,4,dummy-node-419,dummy-eutran-911,2850,UNLOCKED,ENABLED,Blank,1886,1,9,5,37.56501671,127.6176847,2,TRUE,19,75,19826,7,442,439,TRUE,39,TRUE,34,19.dummy.address,40-B5-RRUS18-0,RRUS13,CB4L576296,1,DEACTIVATED,ACTIVATED,7,"[6, 120, 85, 187]",9,0,DEACTIVATED,ACTIVATED,4,-122,5,-98,-125,6,22,1,nan,nan,nan,nan,nan,nan,nan,nan,37.66602944,127.1211715,1419922108,nan,6409623180
63193,DummyBTS_577,0,dummy-node-43,dummy-eutran-320,2500,UNLOCKED,DISABLED,Blank,1013,2,1,7,35.28235429,128.4287332,0,FALSE,11,151,13399,6,194,249,FALSE,33,TRUE,6,80.dummy.address,82-B14-RRUS13-0,RRUS17,CB4L540763,1,DEACTIVATED,DEACTIVATED,3,"[109, 152, 68, 181]",0,5,ACTIVATED,DEACTIVATED,0,-126,9,-99,-122,4,24,1,nan,nan,nan,nan,nan,nan,nan,nan,38.71681267,128.8843634,6285637730,nan,6468973687
70179,DummyBTS_708,7,dummy-node-879,dummy-eutran-810,2850,LOCKED,ENABLED,Blank,1962,5,3,3,38.66764544,128.7524777,0,TRUE,23,408,13480,7,102,324,FALSE,38,TRUE,38,16.dummy.address,58-B13-RRUS14-0,RRUS14,CB4L102828,1,DEACTIVATED,ACTIVATED,5,"[45, 92, 19, 25]",2,6,DEACTIVATED,ACTIVATED,9,-125,2,-103,-112,1,11,1,nan,nan,nan,nan,nan,nan,nan,nan,36.95510137,127.2364958,7790748373,nan,6367260967
63456,DummyBTS_904,2,dummy-node-329,dummy-eutran-448,2500,LOCKED,DISABLED,Blank,1056,8,9,2,36.80522996,127.3355042,1,TRUE,24,362,16737,7,70,329,TRUE,59,FALSE,1,77.dummy.address,52-B15-RRUS11-0,RRUS12,CB4L804493,1,ACTIVATED,ACTIVATED,8,"[111, 114, 14, 81]",9,9,ACTIVATED,DEACTIVATED,2,-101,4,-119,-103,9,0,1,nan,nan,nan,nan,nan,nan,nan,nan,36.00032983,127.7350432,4284983858,nan,5762480957
65977,DummyBTS_279,8,dummy-node-150,dummy-eutran-58,2850,UNLOCKED,ENABLED,Blank,1260,8,6,6,36.92154972,128.6756193,0,TRUE,9,427,12763,3,413,248,TRUE,42,TRUE,3,21.dummy.address,49-B16-RRUS19-0,RRUS15,CB4L742856,2,ACTIVATED,ACTIVATED,6,"[96, 143, 121, 172]",7,5,ACTIVATED,DEACTIVATED,7,-112,4,-118,-100,4,28,1,nan,nan,nan,nan,nan,nan,nan,nan,38.50916632,129.4321866,5229873934,nan,4584361666
73469,DummyBTS_671,1,dummy-node-703,dummy-eutran-824,2850,LOCKED,DISABLED,Blank,1360,3,5,7,36.51777452,129.0555755,1,FALSE,12,197,14142,4,320,193,FALSE,67,TRUE,19,67.dummy.address,98-B2-RRUS11-0,RRUS4,CB4L685555,2,DEACTIVATED,ACTIVATED,0,"[55, 187, 36, 179]",7,7,DEACTIVATED,DEACTIVATED,2,-120,6,-128,-109,2,15,0,nan,nan,nan,nan,nan,nan,nan,nan,36.93230508,128.4963344,4235400916,nan,3268859871
65304,DummyBTS_198,3,dummy-node-485,dummy-eutran-808,2850,LOCKED,ENABLED,Blank,1040,8,2,5,35.93531771,129.045402,0,TRUE,23,26,16062,3,420,214,TRUE,45,FALSE,43,67.dummy.address,26-B7-RRUS4-0,RRUS7,CB4L564765,0,DEACTIVATED,ACTIVATED,6,"[16, 147, 65, 153]",6,4,ACTIVATED,ACTIVATED,9,-93,8,-93,-129,7,39,2,nan,nan,nan,nan,nan,nan,nan,nan,36.18430622,129.2620481,1969587264,nan,4714839795
68259,DummyBTS_860,9,dummy-node-179,dummy-eutran-852,3200,UNLOCKED,ENABLED,Blank,1135,6,1,0,38.0720779,127.6395174,0,FALSE,10,261,13307,7,68,207,FALSE,14,TRUE,13,7.dummy.address,77-B11-RRUS5-0,RRUS11,CB4L152633,1,ACTIVATED,DEACTIVATED,1,"[4, 94, 4, 142]",7,0,DEACTIVATED,DEACTIVATED,5,-91,8,-111,-120,3,5,0,nan,nan,nan,nan,nan,nan,nan,nan,38.60235984,129.3005374,9933248863,nan,7403764757
71715,DummyBTS_738,8,dummy-node-957,dummy-eutran-27,3200,LOCKED,ENABLED,Blank,1924,1,0,8,35.90288556,127.2600661,2,TRUE,16,326,17477,9,12,281,TRUE,95,FALSE,10,7.dummy.address,16-B13-RRUS10-0,RRUS10,CB4L559109,2,DEACTIVATED,ACTIVATED,7,"[75, 113, 142, 113]",5,4,DEACTIVATED,ACTIVATED,0,-95,2,-123,-94,5,19,2,nan,nan,nan,nan,nan,nan,nan,nan,39.90137076,128.2543528,6641003251,nan,3740629169
68102,DummyBTS_143,4,dummy-node-780,dummy-eutran-961,2500,UNLOCKED,DISABLED,Blank,1827,9,7,7,35.39341029,129.6382231,1,TRUE,14,345,18214,9,28,1,FALSE,90,TRUE,48,79.dummy.address,3-B17-RRUS16-0,RRUS17,CB4L574318,0,ACTIVATED,DEACTIVATED,9,"[66, 35, 2, 19]",5,4,DEACTIVATED,ACTIVATED,2,-128,6,-115,-122,0,45,1,nan,nan,nan,nan,nan,nan,nan,nan,36.89700443,127.3763218,6440395254,nan,4952489034
70478,DummyBTS_234,6,dummy-node-972,dummy-eutran-471,2500,LOCKED,DISABLED,Blank,1217,9,0,2,39.82517834,129.3625627,0,TRUE,3,141,17861,6,137,261,TRUE,15,TRUE,11,80.dummy.address,58-B10-RRUS19-0,RRUS1,CB4L961019,0,DEACTIVATED,DEACTIVATED,8,"[185, 179, 87, 26]",9,8,DEACTIVATED,DEACTIVATED,7,-95,5,-105,-130,6,41,3,nan,nan,nan,nan,nan,nan,nan,nan,38.76202962,127.9732912,8677227328,nan,6629434709
64136,DummyBTS_335,9,dummy-node-5,dummy-eutran-840,2500,UNLOCKED,DISABLED,Blank,1584,1,8,8,38.33178446,127.9792842,1,FALSE,22,212,18173,7,336,98,FALSE,63,TRUE,34,76.dummy.address,79-B18-RRUS12-0,RRUS18,CB4L187624,0,ACTIVATED,ACTIVATED,6,"[98, 165, 41, 164]",1,9,DEACTIVATED,ACTIVATED,9,-109,3,-115,-94,5,36,8,nan,nan,nan,nan,nan,nan,nan,nan,36.91860926,128.1057599,6848428753,nan,4716413370
74323,DummyBTS_485,4,dummy-node-727,dummy-eutran-353,2500,LOCKED,DISABLED,Blank,1666,4,1,7,38.82657312,129.8081623,0,TRUE,4,497,18851,1,269,438,TRUE,79,TRUE,6,14.dummy.address,25-B16-RRUS12-0,RRUS7,CB4L736496,2,DEACTIVATED,ACTIVATED,3,"[173, 110, 56, 138]",6,1,ACTIVATED,ACTIVATED,3,-102,7,-113,-103,7,26,0,nan,nan,nan,nan,nan,nan,nan,nan,35.04293944,129.9503112,1490602851,nan,5809985485
74464,DummyBTS_708,7,dummy-node-597,dummy-eutran-246,2500,LOCKED,ENABLED,Blank,1606,8,8,2,36.42170846,128.9118997,0,FALSE,8,139,16747,4,188,368,FALSE,8,FALSE,27,92.dummy.address,40-B6-RRUS8-0,RRUS17,CB4L541741,1,DEACTIVATED,ACTIVATED,2,"[26, 158, 53, 30]",5,1,ACTIVATED,ACTIVATED,3,-130,8,-108,-105,6,5,0,nan,nan,nan,nan,nan,nan,nan,nan,38.31653384,129.9879127,2501680801,nan,6922895662
75963,DummyBTS_498,3,dummy-node-682,dummy-eutran-623,3200,UNLOCKED,DISABLED,Blank,1168,2,2,5,38.86554645,129.2100074,0,TRUE,1,184,10653,4,406,170,FALSE,70,FALSE,28,84.dummy.address,70-B10-RRUS14-0,RRUS6,CB4L776088,2,ACTIVATED,ACTIVATED,5,"[12, 2, 76, 89]",9,5,ACTIVATED,ACTIVATED,7,-115,0,-106,-102,9,2,3,nan,nan,nan,nan,nan,nan,nan,nan,38.24254135,127.7140764,5950296338,nan,9670606095
